,path,emotion
134,data/emodb/wav\12a01Wc.wav,angry
135,data/emodb/wav\12a02Nb.wav,neutral
136,data/emodb/wav\12a02Wa.wav,angry
137,data/emodb/wav\12a02Wc.wav,angry
138,data/emodb/wav\12a04Wc.wav,angry
139,data/emodb/wav\12a05Nd.wav,neutral
140,data/emodb/wav\12a05Ta.wav,sad
141,data/emodb/wav\12a05Wb.wav,angry
142,data/emodb/wav\12a07Wa.wav,angry
143,data/emodb/wav\12b01Ta.wav,sad
144,data/emodb/wav\12b01Wa.wav,angry
145,data/emodb/wav\12b02Na.wav,neutral
146,data/emodb/wav\12b02Wa.wav,angry
147,data/emodb/wav\12b02Wb.wav,angry
148,data/emodb/wav\12b02Wd.wav,angry
149,data/emodb/wav\12b03Ta.wav,sad
150,data/emodb/wav\12b09Td.wav,sad
151,data/emodb/wav\12b09Wc.wav,angry
152,data/emodb/wav\12b10Wa.wav,angry
153,data/emodb/wav\13a01Nb.wav,neutral
154,data/emodb/wav\13a01Wb.wav,angry
155,data/emodb/wav\13a02Nc.wav,neutral
156,data/emodb/wav\13a02Ta.wav,sad
157,data/emodb/wav\13a02Wa.wav,angry
158,data/emodb/wav\13a04Ta.wav,sad
159,data/emodb/wav\13a04Wc.wav,angry
160,data/emodb/wav\13a05Nb.wav,neutral
161,data/emodb/wav\13a05Tc.wav,sad
162,data/emodb/wav\13a05Wa.wav,angry
163,data/emodb/wav\13a05Wc.wav,angry
164,data/emodb/wav\13a07Na.wav,neutral
165,data/emodb/wav\13a07Tc.wav,sad
166,data/emodb/wav\13a07Wb.wav,angry
167,data/emodb/wav\13b01Nc.wav,neutral
168,data/emodb/wav\13b01Wa.wav,angry
169,data/emodb/wav\13b02Nb.wav,neutral
170,data/emodb/wav\13b02Wa.wav,angry
171,data/emodb/wav\13b03Na.wav,neutral
172,data/emodb/wav\13b03Td.wav,sad
173,data/emodb/wav\13b03Wc.wav,angry
174,data/emodb/wav\13b09Na.wav,neutral
175,data/emodb/wav\13b09Wa.wav,angry
176,data/emodb/wav\13b10Nc.wav,neutral
177,data/emodb/wav\13b10Wa.wav,angry
178,data/emodb/wav\13b10Wc.wav,angry
179,data/emodb/wav\14a01Na.wav,neutral
180,data/emodb/wav\14a01Wa.wav,angry
181,data/emodb/wav\14a01Wc.wav,angry
182,data/emodb/wav\14a02Nc.wav,neutral
183,data/emodb/wav\14a02Tb.wav,sad
184,data/emodb/wav\14a02Wa.wav,angry
185,data/emodb/wav\14a02Wc.wav,angry
186,data/emodb/wav\14a04Tb.wav,sad
187,data/emodb/wav\14a04Tc.wav,sad
188,data/emodb/wav\14a04Wb.wav,angry
189,data/emodb/wav\14a04Wc.wav,angry
190,data/emodb/wav\14a05Na.wav,neutral
191,data/emodb/wav\14a05Ta.wav,sad
192,data/emodb/wav\14a05Tc.wav,sad
193,data/emodb/wav\14a05Wa.wav,angry
194,data/emodb/wav\14a05Wb.wav,angry
195,data/emodb/wav\14a07Na.wav,neutral
196,data/emodb/wav\14a07Tc.wav,sad
197,data/emodb/wav\14a07Wc.wav,angry
198,data/emodb/wav\14b01Na.wav,neutral
199,data/emodb/wav\14b01Wc.wav,angry
200,data/emodb/wav\14b02Na.wav,neutral
201,data/emodb/wav\14b02Tc.wav,sad
202,data/emodb/wav\14b02Wb.wav,angry
203,data/emodb/wav\14b02Wd.wav,angry
204,data/emodb/wav\14b03Ta.wav,sad
205,data/emodb/wav\14b03Wb.wav,angry
206,data/emodb/wav\14b09Td.wav,sad
207,data/emodb/wav\14b09Wa.wav,angry
208,data/emodb/wav\14b09Wc.wav,angry
209,data/emodb/wav\14b10Nb.wav,neutral
210,data/emodb/wav\14b10Tc.wav,sad
211,data/emodb/wav\14b10Wc.wav,angry
212,data/emodb/wav\15a01Nb.wav,neutral
213,data/emodb/wav\15a01Wa.wav,angry
